"","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"ENSMUSG00000000028",8.02393133786352,7.574743484515,7.66752465776215,7.29460586361193,7.7360194471736,7.67534425170867,7.90637053720158,7.87342725707942,7.17368268947021,7.16201714360385,9.05955055025321,8.43692732351762
"ENSMUSG00000000088",9.88743893592719,9.75430361511425,9.96374437679765,9.85120762732064,9.69237845587073,9.50054903577051,10.5295461861603,10.4665861371461,9.60507202589837,9.75014741241641,11.3678352075894,10.8477439143431
"ENSMUSG00000000184",12.0093339286402,11.8059273884768,11.9469622327163,12.4128091117224,13.7835878755878,13.8196129363808,13.829155058138,13.7728134510721,11.7382799534109,11.8569461222672,14.8570747122464,14.2300961079909
"ENSMUSG00000000317",6.05784019503697,6.09339462938484,5.92281769846839,6.48616460849843,5.51002821459195,5.31915231927741,5.73041787844212,5.52432582929984,5.90303827172663,6.35621732215459,6.65541272040298,6.38782615869764
"ENSMUSG00000000365",6.2290130782028,5.25081880456402,4.97067094502326,5.40086560795049,5.46693747415011,5.31915231927741,5.30214384970784,5.67576582198312,5.80638134858339,5.7756312483763,6.76522137214113,7.0768116501888
"ENSMUSG00000000628",8.8386339458433,8.60040382334192,8.81534956781746,9.03258463114628,9.6735496689019,9.91359345722312,9.72578039095699,9.40442475400444,8.64217206467392,8.64610969192361,10.9099987032455,10.9252462792219
"ENSMUSG00000000791",7.09784844235803,6.78268368934927,7.22470743419958,6.55156826490504,6.3055162740096,6.85238243628601,6.08941567565408,6.05310722552784,6.69029292496588,6.30920378256339,7.3626555194587,6.94963249186469
"ENSMUSG00000000916",9.12547643161469,9.11943359896889,9.08041933515722,9.19285385679627,9.76532841801288,9.9164188613402,10.2595561755225,10.2468186273391,9.2917948767004,9.18236731409886,11.4328704702361,10.8891833827046
"ENSMUSG00000001056",9.83741663413006,9.40796654218265,9.80735803805746,9.24913693420378,10.9536814388415,10.9634650454295,11.175349644243,11.2610063472172,9.58335861673887,9.49225771874792,12.5529765266534,12.1634483352465
"ENSMUSG00000001228",10.0924211554515,9.50342138127886,9.86139243191637,9.5600579903973,9.53959126715257,9.04879163616055,9.38686910174874,9.46547043400392,9.32880455885781,9.44953806085402,11.4709924894768,11.0010893784788
"ENSMUSG00000001285",9.38984522981514,9.25727221873951,9.34167598464206,9.32217016704141,9.31502351575789,9.25481969020574,9.65189393169986,9.80232076804416,9.28463648477757,9.48874566667552,10.791708822814,10.3561676482269
"ENSMUSG00000001416",11.8296107370719,11.7721447311719,11.8552110528244,11.690843894946,12.8015820150335,12.8463634040651,13.3432379163858,13.3055246440413,11.9097631071164,11.9137055578184,14.8452337896289,14.1632725185231
"ENSMUSG00000001436",8.22407266674786,8.29362763720185,8.23365951280663,8.45083753391843,9.21113849066082,9.50806082747708,9.78718739488771,9.69780009756662,8.35493988980389,8.53130719288484,11.0560538174155,10.7872546774241
"ENSMUSG00000001440",12.9821746166933,12.8701394191981,12.9149989119176,12.8927059251924,13.3122220067641,13.3520068937929,13.7272319237285,13.7931460270946,12.8389666461512,12.9323172170692,14.8067679578189,14.4620218247421
"ENSMUSG00000001467",10.0251930632616,9.78375615122768,10.3163701644382,10.4521812366947,10.636375214342,10.7021005103974,10.9201090446357,11.0292434155075,10.1609330716927,10.4678767586262,12.7934371707214,12.5387331400328
"ENSMUSG00000001525",13.801277935028,13.4670329221123,13.6237609438761,13.3470027247375,13.4817880508053,13.0610569264579,13.4295763570417,13.8001179888391,13.4292562003729,13.5581945939376,14.9400150361839,14.4179769925696
"ENSMUSG00000001674",10.9852317772143,10.8487140971221,10.8198149639087,10.762967030113,11.6038119657369,11.7909072150385,12.139636433181,12.0509936551257,10.7659030362074,10.8841248167912,13.2505833499836,12.6459172396385
"ENSMUSG00000001707",8.62644326224963,8.48352614030248,8.78051502034567,8.51454887706716,8.95460652035908,9.07936746223391,9.57401821154132,9.30045561381235,8.76556421458595,8.78717208404709,11.0009978159812,10.2200888208476
"ENSMUSG00000001774",10.8121560415352,10.7121896359681,10.7946431851382,10.6754528653072,10.9634032524494,10.9620983593855,11.2205701478063,11.0995849777637,10.698824261202,10.6471296043394,13.5002796282697,11.6486466014767
"ENSMUSG00000002289",7.02105271634565,7.3805611591614,7.29819237758855,6.70891923174961,7.06690104378808,6.13286789799188,6.938269104821,6.95076886054406,6.91089252783785,6.5573780692593,7.9853485173517,8.02855416566505
"ENSMUSG00000002343",7.77456937172889,7.60375328259214,7.82499840089518,7.80961334072845,7.93095075948478,7.59297285106832,8.50782131400765,8.62554051862423,7.82883465116695,7.81707822789817,9.92318435575575,9.12228540212802
"ENSMUSG00000002477",9.74493121241234,9.32677750387908,9.57393644514658,9.10408500139421,10.6508871463126,10.4582959746321,10.9729414503052,10.8497421996159,9.30423722673551,9.33880568021524,11.8500589204383,11.8119788620977
"ENSMUSG00000002835",8.60985210411781,8.0872670853571,8.24299453270696,7.97608207407577,8.06702452058035,7.98624652846054,7.4801739616448,7.80113323887965,7.66759255908995,7.89343819611154,9.04407124788538,8.87721816911084
"ENSMUSG00000002870",10.720192531762,10.4004099242714,10.4920449477699,10.4236430907562,10.7040427179987,10.6538183658869,10.7223687264986,10.9044428672195,10.3373419099679,10.4262551080089,12.474313288428,11.8423462804674
"ENSMUSG00000002944",11.5587866689534,11.3046441959699,11.3306181690344,10.8859753359155,10.4246759012825,10.1310825423649,11.1207360755331,11.1449139476803,11.0203271782818,11.2405823071656,13.1108445090074,12.8332199767027
"ENSMUSG00000003346",10.3883198836977,10.1666979535606,10.373799774824,10.3918529151503,9.53177152088998,9.16738911610481,9.99232151370357,10.0955110764069,10.5297537215393,10.5602853820495,11.338949098642,10.5858449211912
"ENSMUSG00000003418",10.5386406583507,10.5109717957821,10.4208280959104,9.78340123432413,11.715603584429,11.7993502661037,11.6323199411951,11.7645761486164,9.67927678028163,9.79775740602238,12.4809390797917,12.042050365085
"ENSMUSG00000003438",9.01280289398966,8.80160022466007,8.82159373800248,8.89320393531019,9.63270345227898,9.43112258047549,9.78941228891253,9.94334770748599,8.84800386569384,9.00442152160228,10.9775587182102,10.6383419083328
"ENSMUSG00000003779",9.06242169347483,8.32532373306996,8.68785304351211,7.8775025296244,8.10967245424188,8.13920063438444,8.26083925811988,8.41560811531822,8.02199784549182,8.29034164109022,9.10202935092319,8.52878372937873
"ENSMUSG00000003868",10.1761056949229,10.0743766661689,10.1953638712633,9.93692672332261,10.9624340138307,10.8819761110982,11.390684455085,11.5423721423409,10.1501421714108,10.1653431176632,12.6581425072947,12.2090367716725
"ENSMUSG00000004266",14.2127686927744,14.0989420113818,14.013393457092,14.1215459596078,13.9113808255471,13.7646216811831,13.7835647227518,14.0517053681616,14.1005991977206,14.2827047467135,15.1194306405664,14.7976483345695
"ENSMUSG00000004655",8.42169403489675,7.75105881073251,7.82499840089518,5.97813654800785,4.50930142495078,5.01615541730781,5.39857378917651,4.60735685452349,4.54775142305765,6.21031485786078,5.11892391556286,5.42813537153839
"ENSMUSG00000004748",6.00080716488806,5.8632493133573,5.87558490677065,5.48362664573877,6.88244279532764,6.87579738343204,7.18805303817576,7.60747700961086,5.70278065759072,5.49668502763159,8.71317635175517,7.89191175276093
"ENSMUSG00000004897",11.1956163454723,10.963950579643,11.0379574667164,11.0329101429634,12.3414032676379,12.248213537345,12.6587455952976,12.696697080883,10.8404125291628,11.0736278243291,13.7850214923025,13.3444314176472
"ENSMUSG00000004929",8.26703179444667,7.79196515292641,8.156721691053,7.99030478428745,9.64725217935292,9.48920749973958,9.93318099747252,10.1515041033018,8.16919011019833,7.98602670557183,11.4802238777588,11.0170377446338
"ENSMUSG00000005374",9.80550860291257,9.74782054244255,9.69451262175762,9.87950145052577,9.85161613157083,10.0740237058112,9.95514835769168,9.93210792979128,9.7781611125784,9.82307914346221,11.1666842356607,10.7812640075394
"ENSMUSG00000005410",10.9573993258922,10.487816117765,10.8190349576208,10.3684497159432,10.9030547695077,10.7848250203529,11.229610478517,11.3160877943954,10.5515373810614,10.5694582549795,12.8297749172167,12.1084189307456
"ENSMUSG00000005470",8.39980127544048,7.72489054183723,7.96696253218383,7.2480158047994,7.59304531475115,6.94384492964091,7.64650332169595,7.44827641225881,7.46718889417456,7.64474868613582,8.9804377319176,8.26823647481391
"ENSMUSG00000005483",10.1186266238204,9.9812786534126,10.3727370897101,10.2424081309508,10.0778971897639,10.1065511453244,10.4246703726697,10.4123451337273,10.2754959997364,10.1697363293082,12.318664648142,10.2883246992014
"ENSMUSG00000005610",15.1850813634273,15.5850077938868,15.6018693708536,15.7362698867743,14.571210806859,14.5319099277976,15.7866377159087,15.2783947082422,15.5426363239722,15.2810379562881,16.4435861122966,15.6308102861619
"ENSMUSG00000005667",8.6451738557731,8.37665052984627,8.67066128722515,8.40556575312014,9.05985437556592,8.80835991441664,9.2514016082336,9.29753896228185,8.25958635691503,8.59802272965925,11.3820642301988,10.5588622529136
"ENSMUSG00000005718",7.6127010873772,7.70360871290255,7.52939298894974,7.9127767095281,9.50006166708203,9.50806082747708,9.57659706317652,9.55611846663146,7.47349831657628,7.6320693913336,10.6485879073327,10.1972737002321
"ENSMUSG00000005732",10.6506365028041,10.3422106487422,10.5580423642081,10.2063090540055,12.2221616349794,12.1769581367642,12.3961938359498,12.4651496926577,10.2518321620167,10.410564140676,13.5609502625153,13.1653769738844
"ENSMUSG00000005846",10.874005518107,10.6947685238994,10.8368692651672,10.6307563781037,11.6112518050976,11.7036423735414,12.1357070866637,11.9886165612167,10.7951630165997,10.8727177648907,13.3140720871118,12.8512830408817
"ENSMUSG00000005973",8.40805004125842,8.06240419790411,8.22896925371835,7.85695173978666,9.09565661766313,9.34984896458834,9.24817000406428,9.23488638530947,7.95594045299094,8.22429693489357,10.4432408113366,10.2703783385193
"ENSMUSG00000006378",5.39531095536084,4.72570487553523,5.25531324055393,4.72524213863167,5.46693747415011,5.38590736937406,5.73041787844212,5.21374012687202,5.22299342061509,5.28621954451717,6.73469095945453,6.88157557768132
"ENSMUSG00000006517",8.33205617844235,8.29718401046917,8.5404356754749,8.49473180265467,8.7086148720926,8.80835991441664,8.74180010684215,9.04273825441157,8.4475883812865,8.60127887517814,10.0710333002196,10.0198197432267
"ENSMUSG00000006715",8.28804099241729,7.65454475593768,7.93275954770329,7.41195654121249,7.35382672540827,7.11102089460042,7.52358833993591,7.44827641225881,7.56497087189755,7.49174133586495,8.72875164334978,8.27583130211318
"ENSMUSG00000006728",11.0999950678453,10.8613817541303,10.9846976569266,10.7760243614513,11.4119643320842,11.3273654491856,11.9119976352373,11.9082044134211,10.9280132918544,11.0368249358198,13.1762057228591,12.7935929337302
"ENSMUSG00000006818",10.3287368393961,10.1802429874255,10.4022003215257,10.2659819351796,10.4717553543205,10.3765311172307,10.7071506942039,10.6708469530472,10.2023578600951,10.3710504327727,11.7429215842929,11.4325119028069
"ENSMUSG00000008843",6.09918245117287,5.36366419569712,5.3958524982864,3.62235987650132,2.41710550542121,3.2738247600352,3.01631544900091,3.82657128666367,2.66144558716119,3.34040099177954,3.27714683584393,3.15088031791733
"ENSMUSG00000009013",11.3840762015298,11.1440841577068,11.4140804755215,11.2053895633332,11.4960828681179,11.3723025779228,11.960193466808,11.8426859044939,11.2924763011446,11.3335752740584,13.2176733140437,12.1044257995205
"ENSMUSG00000009575",11.8948954459437,11.789924003432,11.8306545635773,11.7910613453048,12.0199394917455,11.9126408343725,12.5365832519954,12.5646389876448,11.7115054241664,11.7269680959582,13.5705709640946,13.0787517413881
"ENSMUSG00000010048",9.16495088115205,8.8386790641915,8.94398141466136,8.87287716945559,10.4372883868884,10.6108581828803,11.0134764886886,10.8134496476577,8.96680983825363,9.04085094658312,12.0214908169686,11.6101123335115
"ENSMUSG00000010663",8.00592875389703,7.74064839187125,8.45062716638426,8.05938820135761,7.75405529936283,7.41261840505782,7.52358833993591,7.42708190633685,7.38924174216547,7.32844067685389,8.3348748373848,8.16568326574152
"ENSMUSG00000011752",10.8048859385168,10.5790196667606,10.8119958585076,10.6367965255358,11.3043926652877,11.1823178918345,11.9038061060606,11.7497145877784,10.6164079384704,10.7423755640809,12.8186737441796,12.2551509932434
"ENSMUSG00000012443",9.93768532697469,9.22215784467083,9.5627972374708,8.82606697294515,8.67587626921454,8.26866417883047,8.50240646214436,8.33255748817095,8.82598344638898,8.86779543238447,9.67647654210685,9.07735906270256
"ENSMUSG00000012777",5.9261912487002,5.74323025873134,5.46130073023435,5.83836761106204,7.19124957018174,7.81513187916376,6.97000123252389,6.74349756760794,5.5439769780864,5.82102521146796,8.62852760661765,8.16568326574152
"ENSMUSG00000013662",10.8281249285827,10.7201597420122,10.8778944989254,10.7497904412273,10.8547715212443,10.9702791226196,11.3914169983438,11.2353260829663,10.7671876256241,10.8170923664722,12.3920296647919,11.9342980531245
"ENSMUSG00000013701",11.6511588946213,11.6650861329177,11.9354925670097,10.5986239362327,12.1723160052621,12.2375210876133,11.8773807990735,11.6639893205285,11.2018080909067,10.7916643992433,12.9262302797271,12.6521311019275
"ENSMUSG00000013736",11.3268541005935,11.2340376388098,11.2426111609013,11.1605002013313,11.0259747827404,11.0889827645804,11.4822390277895,11.4176329059493,11.3303380428997,11.475629371776,12.6740686533627,12.230691447641
"ENSMUSG00000014226",10.6413369963271,10.3196567605378,10.6634813389788,10.3298237564173,11.0250466959118,10.8468621861075,11.1727953469991,11.0970710470839,10.4032700914329,10.4012538068178,13.401700877585,12.1547216827643
"ENSMUSG00000014907",7.82472658425313,7.65454475593768,7.7614596370613,7.66933228875565,8.28737196273493,8.20538413307127,8.45273589993237,8.30957875768094,7.62854680135367,7.73051429082112,9.95167014409283,9.44719471841406
"ENSMUSG00000015176",10.9774002783834,10.7041752547099,10.6969820715343,10.7037802159507,12.427857402892,12.7238972575531,12.4680955416497,12.4912311127152,10.6171205009674,10.7816534324885,13.6917453363012,13.4841605286048
"ENSMUSG00000015316",10.6308028956151,10.6108052994194,10.4743199181621,10.8104996395638,9.60564365034553,9.6232165245609,9.90882885069955,9.76268614777009,10.8943142156613,10.8544132376406,11.0652845753711,10.869867539031
"ENSMUSG00000015656",15.3492276344176,15.086273652888,15.3925359873557,14.8173236176061,15.9567426883846,15.7589589121917,16.2330388813846,16.0471157114689,15.0358197671086,14.9888573692364,18.6038547266801,17.0007518601344
"ENSMUSG00000015806",8.91971708383653,8.64015274858938,9.03008095728417,9.03487349564111,8.90703860005284,8.70757015838001,9.43881866731381,9.56099128012263,8.92368403093068,8.78430998219224,10.4931133627093,9.94914296192885
"ENSMUSG00000015880",9.15354864559849,8.28648848177587,8.85850164712031,7.92763413227444,8.02307735428125,7.38023899850498,7.75065733386577,7.86557117739352,8.14172115385835,7.9040241683151,8.94086529426833,8.29464527074815
"ENSMUSG00000016552",9.01820155950324,9.14531527032358,8.79009907038114,8.95009693750937,9.73613592759703,9.84999210057238,10.2005911522968,10.4561614394981,8.92137814450992,9.03604651122202,11.3478019084473,11.0561539814564
"ENSMUSG00000017499",8.22095464830041,7.60375328259214,7.64657459244078,6.8085997606087,7.38887853066053,7.59297285106832,7.03144540363074,6.90551171713324,6.51787057015702,7.08036856293075,8.58212279502271,8.16158953609484
