"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"12","ENSMUSG00000000386","Mx1",0,0,1,1,1,10.2360230834862,9.99448253147794,10.2634561687246,10.4910426819394,11.7485876292557,11.992462524681,12.6292386671775,12.2067957138065,10.1142513324801,10.885460912511,9.74700811331215,10.0654497150061
"13","ENSMUSG00000000394","Gcg",0,0,0,0,1,3.19603592009881,3.73265101935907,3.56267082665322,3.02813852080964,5.22976458558157,4.7381345323749,4.83521232120539,4.44814223823979,2.66144558716119,3.46001122458306,3.94380281537096,4.22078818867855
"14","ENSMUSG00000000399","Ndufa9",0,1,0,0,0,10.1102251433543,9.94319775266026,10.1563728409158,9.89470371688566,9.99311491527421,9.93882507783792,10.7200379137161,10.7793598920984,9.96998442402955,10.0401690383209,11.4928213527909,10.9432433367873
"15","ENSMUSG00000000530","Acvrl1",0,0,0,1,0,7.9692353056731,7.82683081022563,8.04908221227594,8.10367186551159,8.41754839852834,8.01816218336566,8.22840805440136,8.1244757560767,7.72160051388968,7.712560305978,6.55414389666334,7.60286198697576
"16","ENSMUSG00000000552","Zfp385a",0,-1,1,1,1,8.55395460768298,8.54763409832919,8.51754097677798,9.42347757891075,10.8379589432092,10.809353012391,11.0295651363291,11.3103116376871,8.57334422930398,8.77568945008753,6.60566668667467,7.42985106567554
"17","ENSMUSG00000000563","Atp5f1",0,1,0,0,0,11.9000220423363,11.6330803190973,11.8567320431985,11.5273369113854,12.0049550994074,11.7660608698183,12.1539531621795,12.2646919413383,11.7021332371092,11.7999888919173,13.0829011918067,12.6707937365546
"18","ENSMUSG00000000617","Grm6",0,1,0,0,1,6.67416480179646,6.73102972135559,6.74902613206644,6.38931283460052,8.37155905677751,8.24188329496546,8.00156269315821,8.4890326048612,6.07885648815864,6.14041040140851,7.68356048782854,7.49637222309406
"19","ENSMUSG00000000628","Hk2",0,1,-1,-1,0,8.8386339458433,8.60040382334192,8.81534956781746,9.03258463114628,9.6735496689019,9.91359345722312,9.72578039095699,9.40442475400444,8.64217206467392,8.64610969192361,10.9099987032455,10.9252462792219
"20","ENSMUSG00000000631","Myo18a",0,-1,0,0,0,11.9246667642915,12.0758022493414,11.8815996035628,12.4478007391687,11.6569012195229,11.6680412726969,11.5101617118485,11.5920178265089,12.1286968047296,12.0533929914438,10.8754313841505,11.0361695529238
"21","ENSMUSG00000000708","Kat2b",0,-1,0,0,-1,10.425363412305,10.4411629348955,10.416709326279,10.3945290162088,9.28432560056835,9.29879219859094,9.00565130949298,8.96398871416257,10.4480107374209,10.5117959747266,9.00303011465026,8.93352168800975
"22","ENSMUSG00000000776","Polr3d",0,1,0,0,1,9.05543692311464,8.98256571834855,9.0354632084547,9.00483121219754,10.6580887365598,10.8819761110982,10.9581841377013,11.0827420979612,8.82598344638898,9.06934633774785,11.3746579038494,11.2803632710814
"23","ENSMUSG00000000791","Il12rb1",0,0,-1,0,0,7.09784844235803,6.78268368934927,7.22470743419958,6.55156826490504,6.3055162740096,6.85238243628601,6.08941567565408,6.05310722552784,6.69029292496588,6.30920378256339,7.3626555194587,6.94963249186469
"24","ENSMUSG00000000794","Kcnn3",0,0,0,1,1,2.21584829953836,2.82737990178743,2.3152766839435,2.50157312065434,4.00619514657445,4.63212811734401,2.42321828759823,3.5411174561326,2.97778872176109,2.7282813686393,2,2.49244918571559
"25","ENSMUSG00000000811","Txnrd3",0,1,0,0,1,7.20272434097127,6.99026408808759,7.15718669339139,7.5139271606057,8.8410721107286,8.91956444938385,9.31764497091698,9.31206361011152,7.40912689104258,7.54682098658261,9.87150095612088,10.0130194626344
